ID,作品中文常用名,Original_or_English_Title,作者中文名,Author,国家_文学传统,原始语言,首次成书_出版时间,时代,体裁,主题_类型标签,Canon_Level,Academic_Canon,Global_Influence,Traditional_Recognition,经典化理由,方法学依据,建议阅读优先级,个人状态,方法学参考来源URL
CANON-206,莱奥帕尔迪诗选,Canti,贾科莫·莱奥帕尔迪,Giacomo Leopardi,意大利,意大利语,1818—1835,19世纪,诗集,孤独;自然;时间;悲观主义,Major,高,中-高,中-高,意大利19世纪最重要的抒情诗成就之一，对欧洲现代诗具有持久影响。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-207,金色笔记,The Golden Notebook,多丽丝·莱辛,Doris Lessing,英国/南部非洲经验,英语,1962,20世纪,长篇小说,女性;政治;心理;形式实验,Major,高,中-高,中-高,战后英语女性主义与实验小说的重要里程碑。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-208,我们街区的孩子们,Awlād ḥāratinā / Children of Gebelawi,纳吉布·马哈福兹,Naguib Mahfouz,埃及/阿拉伯语文学,阿拉伯语,1959,20世纪,长篇小说,宗教寓言;权力;社会;现代性,Major,高,中-高,中-高,现代阿拉伯小说最重要的寓言性作品之一，具有广泛跨文化影响。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-209,蒙田随笔,Essais / Essays,米歇尔·德·蒙田,Michel de Montaigne,法国,法语,1580—1588,文艺复兴,随笔,自我;怀疑;伦理;人文主义,Core,高,高,高,现代随笔文体的奠基性文本之一，对欧洲思想与文学写作影响深远。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-210,历史,La Storia / History,埃尔莎·莫兰特,Elsa Morante,意大利,意大利语,1974,20世纪,长篇小说,战争;平民;母子;法西斯主义,Major,高,中-高,中-高,意大利战后文学的重要经典，以普通人视角重写战争与历史。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-211,爱伦·坡短篇小说全集,Tales / Complete Tales,埃德加·爱伦·坡,Edgar Allan Poe,美国,英语,1832—1849,19世纪,短篇小说集,哥特;推理;恐怖;心理,Core,高,高,高,现代短篇小说、侦探小说与恐怖文学的共同源头之一。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-212,巨人传,Gargantua et Pantagruel / Gargantua and Pantagruel,弗朗索瓦·拉伯雷,François Rabelais,法国,法语,1532—1564,文艺复兴,小说组,讽刺;身体;教育;人文主义,Core,高,高,高,欧洲文艺复兴叙事与狂欢化传统的基础经典。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-213,玛斯纳维,Masnavi-ye Ma'navi / The Masnavi,鲁米,Rumi (Jalal al-Din Muhammad Balkhi),波斯语文学,波斯语,约1258—1273,中世纪,长篇诗作,苏菲主义;爱;灵性;寓言,Core,高,高,高,波斯苏菲文学与世界宗教诗歌最重要的经典之一。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-214,果园,Būstān / The Bustan,萨迪,Saadi,波斯,波斯语,1257,中世纪,教诲诗,伦理;社会;智慧;苏菲主义,Major,高,中-高,中-高,波斯古典文学核心文本，与《蔷薇园》共同奠定萨迪的世界经典地位。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-215,泽诺的意识,La coscienza di Zeno / Zeno's Conscience,伊塔洛·斯韦沃,Italo Svevo,意大利,意大利语,1923,20世纪,长篇小说,精神分析;自欺;现代性;疾病,Major,高,中-高,中-高,意大利现代主义小说核心文本，以不可靠自述重塑心理小说。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-216,草叶集,Leaves of Grass,沃尔特·惠特曼,Walt Whitman,美国,英语,1855—1892,19世纪,诗集,民主;身体;自然;自我,Core,高,高,高,现代自由诗与美国诗歌传统的奠基性作品，世界影响持续。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-217,哈德良回忆录,Mémoires d'Hadrien / Memoirs of Hadrian,玛格丽特·尤瑟纳尔,Marguerite Yourcenar,法国/比利时,法语,1951,20世纪,历史小说,帝国;权力;死亡;自省,Major,高,中-高,中-高,20世纪历史小说与第一人称历史想象的经典范本。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-218,卢济塔尼亚人之歌,Os Lusíadas / The Lusiads,路易斯·德·卡蒙斯,Luís de Camões,葡萄牙,葡萄牙语,1572,文艺复兴,史诗,航海;帝国;民族;神话,Core,高,高,高,葡萄牙语文学的民族史诗，也是早期全球化经验的世界文学核心文本。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-219,约婚夫妇,I Promessi Sposi / The Betrothed,亚历山德罗·曼佐尼,Alessandro Manzoni,意大利,意大利语,1827/1842,19世纪,历史小说,婚姻;瘟疫;宗教;民族,Major,高,中-高,中-高,意大利现代民族文学与现代意大利语形成中的核心小说。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-220,马亚一家,Os Maias / The Maias,埃萨·德·克罗兹,Eça de Queirós,葡萄牙,葡萄牙语,1888,19世纪,长篇小说,家族;社会;衰败;现实主义,Major,高,中-高,中-高,葡萄牙现实主义小说的最高经典之一。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-221,金云翘传,Truyện Kiều / The Tale of Kieu,阮攸,Nguyễn Du,越南,越南语（字喃）,约1820,19世纪,叙事诗,爱情;命运;女性;伦理,Major,高,中-高,中-高,越南文学最具代表性的民族经典之一，在东南亚与世界文学研究中地位稳定。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature; https://www.loc.gov/item/2021667459/
CANON-222,社会毒瘤（不许犯我）,Noli Me Tangere / Touch Me Not,何塞·黎刹,José Rizal,菲律宾,西班牙语,1887,19世纪,长篇小说,殖民;民族;社会批判;爱情,Major,高,中-高,中-高,菲律宾现代民族文学的奠基性小说，也是亚洲反殖民文学的关键文本。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature; https://www.penguin.co.uk/books/62454/noli-me-tangere-by-jose-rizal/9780143039693
CANON-223,人世间,Bumi Manusia / This Earth of Mankind,普拉姆迪亚·阿南达·杜尔,Pramoedya Ananta Toer,印度尼西亚,印度尼西亚语,1980,20世纪,长篇小说,殖民;民族;教育;现代性,Major,高,中-高,中-高,印尼现代文学最重要的小说之一，“布鲁岛四部曲”的起点与核心。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-224,并非出于仇恨（直译名）,Mon Ywe Ma Hu / Not Out of Hate,玛玛蕾,Ma Ma Lay,缅甸,缅甸语,1955,20世纪,长篇小说,殖民;婚姻;女性;文化冲突,Extended,中-高,中,中,缅甸20世纪女性文学与反殖民小说的重要经典，英语学界长期研究。,区域/类型/时期经典地位稳定；用于补足世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature; https://www.ohioswallow.com/9780896801677/not-out-of-hate/
CANON-225,四朝代（直译名）,Si Phaendin / Four Reigns,克立·巴莫,Kukrit Pramoj,泰国,泰语,1953,20世纪,历史小说,王朝;现代化;家庭;社会变迁,Extended,中-高,中,中,泰国最具影响力的现代历史小说之一，是理解近现代泰国社会变迁的代表文本。,区域/类型/时期经典地位稳定；用于补足世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-226,脚镯记,Silappatikaram / The Tale of an Anklet,伊兰戈·阿迪伽尔（传统归属）,Ilango Adigal (trad.),南印度/泰米尔文学,泰米尔语,约5—6世纪,古典时代,史诗,正义;婚姻;城市;女性,Major,高,中-高,中-高,泰米尔古典文学五大史诗中最具代表性的作品之一，补足南亚非梵语经典传统。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-227,云使,Meghadūta / The Cloud Messenger,迦梨陀娑,Kalidasa,古印度,梵语,约4—5世纪,古代,抒情长诗,爱情;离别;自然;旅行,Major,高,中-高,中-高,梵语抒情诗最著名的经典之一，对南亚诗歌传统影响深远。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-228,家庭与世界,Ghare-Baire / The Home and the World,拉宾德拉纳特·泰戈尔,Rabindranath Tagore,印度/孟加拉文学,孟加拉语,1916,20世纪初,长篇小说,民族主义;家庭;女性;现代性,Major,高,中-高,中-高,泰戈尔小说代表作，以家庭关系审视民族主义与现代性冲突。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-229,向导,The Guide,R.K.纳拉扬,R. K. Narayan,印度,英语,1958,20世纪,长篇小说,身份;宗教;现代化;讽刺,Major,高,中-高,中-高,印度英语小说的经典代表，兼具地方社会观察与现代叙事成熟度。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-230,火河,Aag Ka Darya / River of Fire,库拉图莱因·海德尔,Qurratulain Hyder,印度/巴基斯坦乌尔都文学,乌尔都语,1959,20世纪,长篇小说,历史;分治;文明;身份,Major,高,中-高,中-高,乌尔都现代小说里程碑，以跨千年结构重写南亚历史与分治经验。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-231,巴斯蒂,Basti,因提扎尔·侯赛因,Intizar Husain,巴基斯坦,乌尔都语,1979,20世纪,长篇小说,分治;记忆;流亡;历史,Major,高,中-高,中-高,巴基斯坦乌尔都文学代表作，以记忆与神话处理分治创伤。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-232,乌姆拉奥·贾恩·阿达,Umrao Jaan Ada,米尔扎·哈迪·鲁斯瓦,Mirza Hadi Ruswa,印度/乌尔都文学,乌尔都语,1899,19世纪,长篇小说,女性;城市;表演;社会,Major,高,中-高,中-高,早期现代乌尔都小说的标志性文本，以艺伎/歌妓主体视角保存勒克瑙城市文化。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-233,开往巴基斯坦的火车,Train to Pakistan,库什万特·辛格,Khushwant Singh,印度,英语,1956,20世纪,长篇小说,分治;暴力;共同体;人性,Major,高,中-高,中-高,南亚分治文学最广泛传播的经典小说之一。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-234,万叶集,Man'yōshū,多人,Various,日本,日语/上代日语,约7—8世纪,古代,和歌集,自然;爱情;政治;日常,Major,高,中-高,中-高,日本现存最早的大型诗歌总集，是日本诗歌与语言传统的基础经典。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-235,古今和歌集,Kokin Wakashū,多人（纪贯之等编）,Various; compiled by Ki no Tsurayuki et al.,日本,日语,约905,中世纪,和歌集,季节;爱情;宫廷;审美,Major,高,中-高,中-高,日本首部敕撰和歌集，确立和歌规范与后世宫廷诗学。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-236,徒然草,Tsurezuregusa / Essays in Idleness,吉田兼好,Yoshida Kenkō,日本,日语,约1330—1332,中世纪,随笔,无常;日常;审美;人生,Major,高,中-高,中-高,日本中世随笔文学代表，与《枕草子》并列构成重要随笔传统。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-237,雨月物语,Ugetsu Monogatari / Ugetsu,上田秋成,Ueda Akinari,日本,日语,1776,18世纪,怪谈小说集,怪谈;欲望;因果;战争,Major,高,中-高,中-高,日本江户时期怪谈文学与短篇叙事的最高经典之一。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-238,我是猫,Wagahai wa Neko de Aru / I Am a Cat,夏目漱石,Natsume Sōseki,日本,日语,1905—1906,20世纪初,长篇小说,现代化;知识人;讽刺;都市,Major,高,中-高,中-高,日本现代小说形成期的重要文本，以讽刺视角呈现明治现代性。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-239,李白诗选,Selected Poems of Li Bai / Li Po,李白,Li Bai,中国,中古汉语/汉文,8世纪,中古,诗歌,山水;酒;旅行;自由,Major,高,中-高,中-高,唐诗最高代表之一，对中国及东亚抒情诗传统具有基础性影响。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-240,杜甫诗选,Selected Poems of Du Fu,杜甫,Du Fu,中国,中古汉语/汉文,8世纪,中古,诗歌,战争;民生;历史;伦理,Major,高,中-高,中-高,中国诗歌史最核心的诗人文本之一，以历史感与形式成就进入世界诗歌经典。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-241,陶渊明诗选,Selected Poems of Tao Yuanming,陶渊明,Tao Yuanming,中国,中古汉语/汉文,4—5世纪,中古,诗歌,田园;隐逸;自然;人生,Major,高,中-高,中-高,中国田园诗传统的奠基性文本，对东亚诗歌审美影响深远。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
