file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
出埃及记.md,出埃及记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1414,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
创世记.md,创世记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1004,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
卡卡温罗摩衍那.md,卡卡温罗摩衍那,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1420,MOVE,T1,HIGH,古爪哇《罗摩衍那》约9—10世纪成文
变形记.md,变形记,奥维德,T0,,CANON-009,约8,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1423,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记.md,史记,司马迁,T0,,CANON-028,约前91,T0,PASS,HIGH,CANON-028 首次成书_出版时间=约前91,自动通过,WL-WORK-1017,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记·刺客列传.md,史记·刺客列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2474,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
史记·游侠列传.md,史记·游侠列传,司马迁,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2475,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
吉尔伽美什史诗.md,吉尔伽美什史诗,佚名,T0,,CANON-001,约前2100—前1200,T0,PASS,HIGH,CANON-001 首次成书_出版时间=约前2100—前1200,自动通过,WL-WORK-1425,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
吕西斯特拉忒.md,吕西斯特拉忒,阿里斯托芬,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-LYSISTRATA,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃努玛·埃利什.md,埃努玛·埃利什,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1432,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃及亡灵书.md,埃及亡灵书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1433,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃拉史诗.md,埃拉史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1434,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
埃涅阿斯纪.md,埃涅阿斯纪,维吉尔,T0,,CANON-008,前29—前19,T0,PASS,HIGH,CANON-008 首次成书_出版时间=前29—前19,自动通过,WL-WORK-0640,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
太阳传说.md,太阳传说,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1436,REVIEW,,MEDIUM,需确认是否指纳瓦特尔《太阳传说/Legend of the Suns》及具体文本版本；若为殖民时期记录则应T2
夺牛长征记.md,夺牛长征记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1437,MOVE,T1,HIGH,现存爱尔兰文本传统形成于中古时期；古老口传根源不等于T0成文
奇兰巴兰书.md,奇兰巴兰书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1438,MOVE,T2,HIGH,尤卡坦玛雅《奇兰巴兰书》主要写定于17—18世纪殖民时期
奥德赛.md,奥德赛,荷马,T0,,CANON-003,约前8世纪,T0,PASS,HIGH,CANON-003 首次成书_出版时间=约前8世纪,自动通过,WL-WORK-0653,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
女巫的预言.md,女巫的预言,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1441,MOVE,T1,HIGH,《诗体埃达》诗篇，主要按中古北欧文本传统处理
女神颂.md,女神颂,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1442,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
女英雄书简.md,女英雄书简,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1443,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
姆温多史诗.md,姆温多史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1444,REVIEW,,MEDIUM,口传史诗与20世纪记录/出版文本需区分实体口径；T0依据不足
安提戈涅.md,安提戈涅,索福克勒斯,T0,,CANON-006,约前441,T0,PASS,HIGH,CANON-006 首次成书_出版时间=约前441,自动通过,WL-WORK-1445,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
山海经.md,山海经,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1448,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
岁时记.md,岁时记,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1449,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
岭南摭怪.md,岭南摭怪,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1450,MOVE,T1,HIGH,越南中古传说集，主要编纂于14—15世纪
工作与时日.md,工作与时日,赫西俄德,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1451,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
巴力神话组诗.md,巴力神话组诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1452,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
巴里公主.md,巴里公主,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1454,REVIEW,,MEDIUM,韩国巫歌/口传神话传统的文本化年代复杂，T0依据不足
布兰航海记.md,布兰航海记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1455,MOVE,T1,HIGH,中古爱尔兰叙事，通常定于7—8世纪
希波吕托斯.md,希波吕托斯,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1456,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
庄子.md,庄子,庄周及后学,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-ZHUANGZI,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
恩基与宁玛赫.md,恩基与宁玛赫,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1459,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
恩基与宁胡尔萨格.md,恩基与宁胡尔萨格,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1460,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
拉玛坚.md,拉玛坚,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1465,MOVE,T2,HIGH,泰国现存经典《拉玛坚》主要定型于18世纪末
摩诃婆罗多.md,摩诃婆罗多,毗耶娑,T0,,CANON-011,约前4世纪—4世纪,T0,PASS,HIGH,CANON-011 首次成书_出版时间=约前4世纪—4世纪,自动通过,WL-WORK-1130,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
斯里拉玛传.md,斯里拉玛传,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1467,REVIEW,,MEDIUM,东南亚《罗摩衍那》改写需确认具体文本身份与成书年代；T0缺乏依据
本生经.md,本生经,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1471,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
本达希申.md,本达希申,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1472,MOVE,T1,HIGH,现存中古波斯语编纂本主要形成于伊斯兰时期早期约9世纪
松迪亚塔史诗.md,松迪亚塔史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1473,MOVE,T1,MEDIUM,传统核心对应13世纪马里帝国形成期，应归中古而非古代
格萨尔王传.md,格萨尔王传,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1474,MOVE,T1,MEDIUM,史诗传统主要在中古时期形成并持续口传，T0过早
梨俱吠陀.md,梨俱吠陀,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1475,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
棺椁铭文.md,棺椁铭文,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1476,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞.md,楚辞,屈原等,T0,,CANON-027,战国—汉初,,REVIEW,,缺少可靠年代证据,需复核,WL-WORK-2814,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞·九歌.md,楚辞·九歌,屈原,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1477,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
楚辞·天问.md,楚辞·天问,屈原,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1478,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
毗湿奴往世书.md,毗湿奴往世书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1479,REVIEW,,MEDIUM,形成与重编年代跨晚期古代—中古，需明确本库采用的版本/定型口径
沃尔松格萨迦.md,沃尔松格萨迦,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0752,MOVE,T1,HIGH,13世纪冰岛萨迦
沙恭达罗.md,沙恭达罗,迦梨陀娑,T0,,CANON-013,约4—5世纪,T0,PASS,HIGH,CANON-013 首次成书_出版时间=约4—5世纪,手工核验,WL-WORK-2088,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
洛基的争吵.md,洛基的争吵,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1482,MOVE,T1,HIGH,《诗体埃达》传统，按中古北欧文本体系处理
湿婆往世书.md,湿婆往世书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1484,MOVE,T1,MEDIUM,现存文本层累较晚，主要属中古往世书传统
爱尔兰诸族入侵记.md,爱尔兰诸族入侵记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1485,MOVE,T1,HIGH,约11世纪起形成的中古爱尔兰编纂传统
爱的艺术.md,爱的艺术,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2095,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
爱经.md,爱经,奥维德,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2096,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
理想国.md,理想国,柏拉图,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1213,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
瓦夫苏鲁特尼尔之歌.md,瓦夫苏鲁特尼尔之歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1487,MOVE,T1,HIGH,《诗体埃达》中古北欧诗歌传统
神谱.md,神谱,赫西俄德,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1490,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
索列姆之歌.md,索列姆之歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1491,MOVE,T1,HIGH,《诗体埃达》中古北欧诗歌传统
约伯记.md,约伯记,佚名,T0,,CANON-010,约前7—前4世纪,T0,PASS,HIGH,CANON-010 首次成书_出版时间=约前7—前4世纪,自动通过,WL-WORK-1492,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
罗摩衍那.md,罗摩衍那,蚁垤,T0,,CANON-012,约前5世纪—3世纪,T0,PASS,HIGH,CANON-012 首次成书_出版时间=约前5世纪—3世纪,自动通过,WL-WORK-1493,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
美狄亚.md,美狄亚,欧里庇得斯,T0,,CANON-007,前431,T0,PASS,HIGH,CANON-007 首次成书_出版时间=前431,自动通过,WL-WORK-1496,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
老人与古人的谈话.md,老人与古人的谈话,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1497,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
脚镯记.md,脚镯记,伊兰戈·阿迪伽尔（传统归属）,T0,,CANON-226,约5—6世纪,T1,MOVE_CANDIDATE,HIGH,CANON-226 首次成书_出版时间=约5—6世纪,需复核,WL-WORK-3175,BOUNDARY,T1,MEDIUM,通常约5—6世纪；正跨500操作边界，主归T1更稳妥但应保留边界说明
船难水手的故事.md,船难水手的故事,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1499,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
荷马颂歌.md,荷马颂歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1503,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
荷鲁斯与塞特之争.md,荷鲁斯与塞特之争,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1504,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
萨蒂利孔.md,萨蒂利孔,佩特罗尼乌斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-SATYRICON,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
薄伽梵往世书.md,薄伽梵往世书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1505,MOVE,T1,HIGH,通常认为主要成形于约8—10世纪，属于中古南亚
薄伽梵歌.md,薄伽梵歌,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1506,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
论语.md,论语,孔子弟子及再传弟子编纂,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-ANALECTS,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
诗体埃达.md,诗体埃达,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1508,MOVE,T1,HIGH,诗篇多属9—13世纪，手稿编纂于13世纪
诗经.md,诗经,佚名,T0,,CANON-026,约前11—前7世纪,T0,PASS,HIGH,CANON-026 首次成书_出版时间=约前11—前7世纪,自动通过,WL-WORK-2133,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
贝奥武夫.md,贝奥武夫,佚名,T0,,CANON-019,约8—11世纪,T1,MOVE_CANDIDATE,HIGH,CANON-019 首次成书_出版时间=约8—11世纪,自动通过,WL-WORK-0843,MOVE,T1,HIGH,古英语史诗成文/现存文本约8—11世纪
贺拉斯颂歌.md,贺拉斯颂歌,贺拉斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-HORACE-ODES,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
赫罗尔夫·克拉基萨迦.md,赫罗尔夫·克拉基萨迦,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1510,MOVE,T1,HIGH,中古冰岛传奇萨迦，现存文本约14—15世纪
辛努赫传.md,辛努赫传,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-SINUHE,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
酒神的伴侣.md,酒神的伴侣,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1511,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
酒神的女信徒.md,酒神的女信徒,欧里庇得斯,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1512,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
金字塔铭文.md,金字塔铭文,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1513,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿伽门农.md,阿伽门农,埃斯库罗斯,T0,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T0-AGAMEMNON,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿卡特史诗.md,阿卡特史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1514,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿特拉哈西斯史诗.md,阿特拉哈西斯史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1516,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
阿维斯塔.md,阿维斯塔,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1517,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
陶渊明诗选.md,陶渊明诗选,陶渊明,T0,,CANON-241,4—5世纪,T0,PASS,HIGH,CANON-241 首次成书_出版时间=4—5世纪,需复核,WL-WORK-3185,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
风土记.md,风土记,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1518,MOVE,T1,HIGH,日本《风土记》编纂于8世纪
高人的箴言.md,高人的箴言,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1519,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
高文爵士与绿骑士.md,高文爵士与绿骑士,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0878,MOVE,T1,HIGH,14世纪中古英语骑士诗
Cligès.md,Cligès,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2185,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Erec et Enide.md,Erec et Enide,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2219,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Lancelot, the Knight of the Cart.md","Lancelot, the Knight of the Cart",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2266,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Lancelot.md,Lancelot,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2264,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Perceval, the Story of the Grail.md","Perceval, the Story of the Grail",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2304,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Perceval.md,Perceval,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2303,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
"Yvain, the Knight of the Lion.md","Yvain, the Knight of the Lion",克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2435,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Yvain.md,Yvain,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2434,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
一千零一夜.md,一千零一夜,佚名,T1,,CANON-015,约8—14世纪形成,T1,PASS,HIGH,CANON-015 首次成书_出版时间=约8—14世纪形成,自动通过,WL-WORK-0558,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
万叶集.md,万叶集,多人,T1,,CANON-234,约7—8世纪,T1,PASS,HIGH,CANON-234 首次成书_出版时间=约7—8世纪,需复核,WL-WORK-3179,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
三国遗事.md,三国遗事,一然,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1391,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊万.md,伊万,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1400,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊本·白图泰游记.md,伊本·白图泰游记,伊本·白图泰,T1,,,,,REVIEW,,缺少可靠年代证据,人工核验,WL-WORK-T1-RIHLA,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
佩尔西瓦尔.md,佩尔西瓦尔,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1407,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
兰斯洛特.md,兰斯洛特,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1412,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
兰斯洛特：大车骑士.md,兰斯洛特：大车骑士,克雷蒂安·德·特鲁瓦,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2022,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
列王纪.md,列王纪,菲尔多西,T1,,CANON-014,约1010,T1,PASS,HIGH,CANON-014 首次成书_出版时间=约1010,自动通过,WL-WORK-1416,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
前赤壁赋.md,前赤壁赋,苏轼,T1,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1418,PASS,T1,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
