work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
Almanac of the Dead.md,WL-WORK-2159,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Always Only You.md,WL-WORK-1939,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
America Is in the Heart.md,WL-WORK-0914,T5,T5 二战后多极文学,R5 北美文学 | R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
Amsterdam.md,WL-WORK-3059,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
An Area of Darkness.md,WL-WORK-1348,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,author_model,existing,existing,existing,existing
Angel Down.md,WL-WORK-3034,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Aniceto el Gallo.md,WL-WORK-2160,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,★,existing,existing,existing,existing,existing,existing
Anton Reiser.md,WL-WORK-0915,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
Anything for Billy.md,WL-WORK-2161,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Arabella.md,WL-WORK-1940,T5,T5 二战后多极文学,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
Arabian Sands.md,WL-WORK-1349,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
Astoria.md,WL-WORK-2163,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
"Astucia, el jefe de los Hermanos de la Hoja.md",WL-WORK-2164,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,◆,existing,existing,existing,existing,existing,existing
Audition.md,WL-WORK-0493,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
Auschwitz and After.md,WL-WORK-1941,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
Ayesha at Last.md,WL-WORK-1942,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
A代表不在场证明.md,WL-WORK-0095,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
Banalata Sen.md,WL-WORK-1524,T4,T4 全球现代主义时代,R3 南亚文学,M3.1 现代主义 / Modernism,G1 诗歌,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
Bandits.md,WL-WORK-2165,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
Bar-20.md,WL-WORK-2166,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Bardelys the Magnificent.md,WL-WORK-2167,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
Battle-Pieces.md,WL-WORK-1943,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
Beach Read.md,WL-WORK-1944,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Before I Let Go.md,WL-WORK-1945,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Before She Sleeps.md,WL-WORK-0916,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,◆,existing,existing,existing,existing,existing,existing
Before the Fall.md,WL-WORK-3143,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Beirut Blues.md,WL-WORK-1946,T6,T6 当代全球文学,R1 西亚—地中海古老传统,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
Bellarion the Fortunate.md,WL-WORK-2168,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
Benito Cereno.md,WL-WORK-2169,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,△,existing,existing,existing,existing,existing,existing
Bet Me.md,WL-WORK-1947,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Between the Woods and the Water.md,WL-WORK-1350,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
Big Rock Candy Mountain.md,WL-WORK-2171,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Black Lamb and Grey Falcon.md,WL-WORK-1351,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
"Black Leopard, Red Wolf.md",WL-WORK-2173,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,△,existing,t_default,existing,existing,existing,existing
"Bless Me, Ultima.md",WL-WORK-2174,T5,T5 二战后多极文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Blue Heaven.md,WL-WORK-3135,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Bones.md,WL-WORK-3126,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Book Lovers.md,WL-WORK-1949,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
Borderlands ／ La Frontera.md,WL-WORK-2175,T6,T6 当代全球文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Boyfriend Material.md,WL-WORK-1950,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Bread Givers.md,WL-WORK-0917,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
Buffalo Wagons.md,WL-WORK-2177,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,◆,existing,existing,existing,existing,existing,existing
Bugles in the Afternoon.md,WL-WORK-2178,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,◆,existing,existing,existing,existing,existing,existing
Burnt Offerings.md,WL-WORK-0494,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
Butcher's Crossing.md,WL-WORK-2179,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
California Girl.md,WL-WORK-3131,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Cancioneiro Guasca.md,WL-WORK-2180,T4,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,◆,existing,existing,existing,existing,existing,existing
Captain Singleton.md,WL-WORK-2182,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,△,existing,existing,existing,existing,existing,existing
Casos do Romualdo.md,WL-WORK-2183,T4,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,◆,existing,existing,existing,existing,existing,existing
Ceremony.md,WL-WORK-0918,T5,T5 二战后多极文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Certain Dark Things.md,WL-WORK-0495,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
Chemmeen.md,WL-WORK-R3-18224226,T5,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,t_default,t_default,t_default,other_topic
Cligès.md,WL-WORK-2185,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
Close Range.md,WL-WORK-2186,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Cockfight.md,WL-WORK-0496,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
"Cogewea, the Half-Blood.md",WL-WORK-2188,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Cogewea.md,WL-WORK-2187,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Color.md,WL-WORK-1527,T4,T4 全球现代主义时代,R5 北美文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
Comanche Moon.md,WL-WORK-2189,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Contos Gauchescos.md,WL-WORK-2190,T4,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,★,existing,existing,existing,existing,existing,existing
Cotillion.md,WL-WORK-1951,T5,T5 二战后多极文学,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
Count Hannibal.md,WL-WORK-2192,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,◆,existing,existing,existing,existing,existing,existing
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Cracking India.md,WL-WORK-0919,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,★,existing,existing,existing,existing,existing,existing
"Crick Crack, Monkey.md",WL-WORK-1528,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
Cryptonomicon.md,WL-WORK-0920,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
Cycle of the Werewolf.md,WL-WORK-0497,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
Dance Hall of the Dead.md,WL-WORK-2195,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Darangen.md,WL-WORK-1352,T1,T1 中古多中心文学世界,R3 南亚文学 | R8 东南亚文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
"Dark Continent, My Black Arse.md",WL-WORK-1353,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
Dark Fire.md,WL-WORK-0921,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,◆,existing,existing,existing,existing,existing,existing
Dark Lover.md,WL-WORK-1952,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Dead in the West.md,WL-WORK-2196,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
Dead Man's Walk.md,WL-WORK-2197,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Delilah Green Doesn't Care.md,WL-WORK-1953,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Desert Gold.md,WL-WORK-2198,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Desert Solitaire.md,WL-WORK-2199,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
Destination Biafra.md,WL-WORK-1954,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
Devil in Winter.md,WL-WORK-1955,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
Diné Bahaneʼ：纳瓦霍创世故事.md,WL-WORK-1354,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,t_default,existing,existing,existing
Dispatches.md,WL-WORK-1956,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
Down River.md,WL-WORK-3134,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
Dragon Raja.md,WL-WORK-0498,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
Dreaming in Cuban.md,WL-WORK-0923,T6,T6 当代全球文学,R5 北美文学 | R6 拉丁美洲与加勒比 | R5 北美文学 | R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族,★,existing,existing,existing,existing,existing,existing
Drum-Taps.md,WL-WORK-1957,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
Dungeon Crawler Carl.md,WL-WORK-0499,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,★,existing,existing,existing,existing,existing,existing
D坂杀人事件.md,WL-WORK-0147,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
El escritor argentino y la tradición.md,WL-WORK-2203,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
El gaucho Martín Fierro.md,WL-WORK-2205,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,★,existing,existing,existing,existing,existing,existing
El muerto.md,WL-WORK-2210,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
El Zarco.md,WL-WORK-2214,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,★,existing,existing,existing,existing,existing,existing
"Ema, la cautiva.md",WL-WORK-2216,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
Enemy of God.md,WL-WORK-2217,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,existing,existing,existing,existing
Erec et Enide.md,WL-WORK-2219,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
Erec.md,WL-WORK-2218,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
Excalibur.md,WL-WORK-2222,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士,△,existing,existing,existing,existing,existing,existing
Exquisite Corpse.md,WL-WORK-0500,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
Facial Justice.md,WL-WORK-0924,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,◆,existing,existing,existing,existing,existing,existing
Facundo／ Civilization and Barbarism.md,WL-WORK-2224,T3,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho,△,existing,existing,existing,existing,existing,existing
Feed.md,WL-WORK-0925,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,◆,existing,existing,existing,existing,existing,existing
