file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
曾根崎心中.md,曾根崎心中,近松门左卫门,T2,1703,,,T2,PASS,HIGH,note.year=1703,手工核验,WL-WORK-T2-SONEZAKI,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
李尔王.md,李尔王,威廉·莎士比亚,T2,,CANON-071,约1605—1606,T2,PASS,HIGH,CANON-071 首次成书_出版时间=约1605—1606,需复核,WL-WORK-2827,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
杨家将.md,杨家将,熊大木,T2,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2733,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
林孔内特与科尔塔迪略.md,林孔内特与科尔塔迪略,塞万提斯,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2547,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
格列佛游记.md,格列佛游记,乔纳森·斯威夫特,T2,1726,CANON-081,1726,T2,PASS,HIGH,note.year=1726,手工核验,WL-WORK-0260,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
桃花扇.md,桃花扇,孔尚任,T2,,CANON-038,1699,T2,PASS,HIGH,CANON-038 首次成书_出版时间=1699,需复核,WL-WORK-2816,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
水浒传.md,水浒传,施耐庵,T2,,CANON-031,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-031 首次成书_出版时间=14世纪,手工核验,WL-WORK-1175,PASS,T2,HIGH,素材与早期成书可追至元明，但通行长篇文本及刊刻体系主要属明代；按现存经典文本口径保留T2
水浒后传.md,水浒后传,陈忱,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2563,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
汤姆·琼斯.md,汤姆·琼斯,亨利·菲尔丁,T2,,CANON-082,1749,T2,PASS,HIGH,CANON-082 首次成书_出版时间=1749,自动通过,WL-WORK-1178,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
波波尔·乌.md,波波尔·乌,佚名,T2,,CANON-285,约16世纪记录,T2,PASS,HIGH,CANON-285 首次成书_出版时间=约16世纪记录,手工核验,WL-WORK-1481,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
浮生六记.md,浮生六记,沈复,T2,,,,,REVIEW,,缺少可靠年代证据,个人补录,WL-WORK-2688,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
炽焰世界.md,炽焰世界,玛格丽特·卡文迪许,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0259,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
爱弥儿.md,爱弥儿,卢梭,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1207,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
牡丹亭.md,牡丹亭,汤显祖,T2,,CANON-034,1598,T2,PASS,HIGH,CANON-034 首次成书_出版时间=1598,手工核验,WL-WORK-2097,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
第一梦（索尔·胡安娜）.md,第一梦,索尔·胡安娜·伊内斯·德拉克鲁斯,T2,1692,,,T2,PASS,HIGH,note.year=1692,手工核验,WL-WORK-T2-PRIMERO-SUENO,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
第十二夜.md,第十二夜,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2112,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
等待的岁月.md,等待的岁月,圆地文子,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1242,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
红楼梦.md,红楼梦,曹雪芹,T2,,CANON-037,18世纪中叶,T2,PASS,HIGH,CANON-037 首次成书_出版时间=18世纪中叶,手工核验,WL-WORK-1252,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
罗密欧与朱丽叶.md,罗密欧与朱丽叶,莎士比亚,T2,,CANON-073,约1595,T2,PASS,HIGH,CANON-073 首次成书_出版时间=约1595,自动通过,WL-WORK-2119,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
罗摩功行录.md,罗摩功行录,杜勒西达斯,T2,1574,,,T2,PASS,HIGH,note.year=1574,手工核验,WL-WORK-T2-RAMCHARITMANAS,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
老实人.md,老实人,伏尔泰,T2,1759,CANON-083,1759,T2,PASS,HIGH,note.year=1759,手工核验,WL-WORK-2122,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
聊斋志异.md,聊斋志异,蒲松龄,T2,,CANON-035,约1679—1707,T2,PASS,HIGH,CANON-035 首次成书_出版时间=约1679—1707,手工核验,WL-WORK-0816,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
莎士比亚十四行诗.md,莎士比亚十四行诗,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2126,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
蒙田随笔.md,蒙田随笔,米歇尔·德·蒙田,T2,,CANON-209,1580—1588,T2,PASS,HIGH,CANON-209 首次成书_出版时间=1580—1588,需复核,WL-WORK-3161,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
西游记.md,西游记,吴承恩,T2,,CANON-032,16世纪,T2,PASS,HIGH,CANON-032 首次成书_出版时间=16世纪,手工核验,WL-WORK-0838,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
费德尔.md,费德尔,让·拉辛,T2,,CANON-078,1677,T2,PASS,HIGH,CANON-078 首次成书_出版时间=1677,需复核,WL-WORK-2832,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
金瓶梅.md,金瓶梅,兰陵笑笑生,T2,,CANON-033,约1610,T2,PASS,HIGH,CANON-033 首次成书_出版时间=约1610,手工核验,WL-WORK-1307,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
铁手骑士葛兹·冯·贝利欣根.md,铁手骑士葛兹·冯·贝利欣根,歌德,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2628,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
雨月物语.md,雨月物语,上田秋成,T2,,CANON-237,1776,T2,PASS,HIGH,CANON-237 首次成书_出版时间=1776,自动通过,WL-WORK-0869,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
项狄传.md,项狄传,劳伦斯·斯特恩,T2,,CANON-084,1759—1767,T2,PASS,HIGH,CANON-084 首次成书_出版时间=1759—1767,需复核,WL-WORK-2833,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
鲁滨逊漂流记.md,鲁滨逊漂流记,丹尼尔·笛福,T2,1719,CANON-080,1719,T2,PASS,HIGH,note.year=1719,手工核验,WL-WORK-0889,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
麦克白.md,麦克白,威廉·莎士比亚,T2,,CANON-070,约1606,T2,PASS,HIGH,CANON-070 首次成书_出版时间=约1606,需复核,WL-WORK-2826,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
