work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
A Princess in Theory.md,WL-WORK-1936,T6,全球危机、平台化与类型融合，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Rumor of War.md,WL-WORK-1937,T5,革命激情退潮与后现代成熟，以“从欧洲中心到多中心世界文学”为主要路径的过渡节点（读前预判）,1975—1980：革命激情退潮与后现代成熟,过渡,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
A Small Place.md,WL-WORK-1343,T6,冷战晚期与全球文学重组，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1980—1991：冷战晚期与全球文学重组,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Time of Gifts.md,WL-WORK-1344,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
A Tour on the Prairies.md,WL-WORK-2157,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
A Woman's Journey Round the World.md,WL-WORK-1345,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
ABC谋杀案.md,WL-WORK-0025,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Across the Black Waters.md,WL-WORK-1938,T4,政治极化、反殖民与战时转型，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,形式突破,心理、主体与叙事视角 | 世界大战、革命与政治极化 | 帝国、殖民、反殖民与文化翻译,generated_from_generic,existing,mechanism,existing,yes
All You Need Is Kill.md,WL-WORK-0418,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Allan Quatermain.md,WL-WORK-0492,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
Almanac of the Dead.md,WL-WORK-2159,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Always Only You.md,WL-WORK-1939,T6,疫情、气候与技术社会，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,2020—至今：疫情、气候与技术社会,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
America Is in the Heart.md,WL-WORK-0914,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
Amsterdam.md,WL-WORK-3059,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
An Area of Darkness.md,WL-WORK-1348,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
Angel Down.md,WL-WORK-3034,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Aniceto el Gallo.md,WL-WORK-2160,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
Anton Reiser.md,WL-WORK-0915,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的跨区域转译节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,跨区域转译,印刷、书籍市场与读者扩大 | 俗语化、翻译与新读者共同体,generated_from_generic,existing,mechanism,existing,yes
Anything for Billy.md,WL-WORK-2161,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Arabella.md,WL-WORK-1940,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Arabian Sands.md,WL-WORK-1349,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Astoria.md,WL-WORK-2163,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
"Astucia, el jefe de los Hermanos de la Hoja.md",WL-WORK-2164,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
Audition.md,WL-WORK-0493,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Auschwitz and After.md,WL-WORK-1941,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Ayesha at Last.md,WL-WORK-1942,T6,全球危机、平台化与类型融合，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A代表不在场证明.md,WL-WORK-0095,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Banalata Sen.md,WL-WORK-1524,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
Bandits.md,WL-WORK-2165,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Bar-20.md,WL-WORK-2166,T4,世纪末危机与现代主义酝酿，以“都市、技术与感知革命”为主要路径的转折节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,转折,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Bardelys the Magnificent.md,WL-WORK-2167,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Battle-Pieces.md,WL-WORK-1943,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
Beach Read.md,WL-WORK-1944,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Before I Let Go.md,WL-WORK-1945,T6,疫情、气候与技术社会，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,2020—至今：疫情、气候与技术社会,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Before She Sleeps.md,WL-WORK-0916,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Before the Fall.md,WL-WORK-3143,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Beirut Blues.md,WL-WORK-1946,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Bellarion the Fortunate.md,WL-WORK-2168,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Benito Cereno.md,WL-WORK-2169,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
Bet Me.md,WL-WORK-1947,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Between the Woods and the Water.md,WL-WORK-1350,T6,冷战晚期与全球文学重组，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1980—1991：冷战晚期与全球文学重组,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Big Rock Candy Mountain.md,WL-WORK-2171,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Black Lamb and Grey Falcon.md,WL-WORK-1351,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
"Black Leopard, Red Wolf.md",WL-WORK-2173,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,迁徙、离散与跨国家庭 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
"Bless Me, Ultima.md",WL-WORK-2174,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Blue Heaven.md,WL-WORK-3135,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Bones.md,WL-WORK-3126,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Book Lovers.md,WL-WORK-1949,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Borderlands ／ La Frontera.md,WL-WORK-2175,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Boyfriend Material.md,WL-WORK-1950,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Bread Givers.md,WL-WORK-0917,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Buffalo Wagons.md,WL-WORK-2177,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Bugles in the Afternoon.md,WL-WORK-2178,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Burnt Offerings.md,WL-WORK-0494,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Butcher's Crossing.md,WL-WORK-2179,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的扩散节点（读前预判）,1955—1965：世界真正多中心化,扩散,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
California Girl.md,WL-WORK-3131,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
Cancioneiro Guasca.md,WL-WORK-2180,T4,世纪末危机与现代主义酝酿，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
Captain Singleton.md,WL-WORK-2182,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治,generated_from_generic,existing,mechanism,existing,yes
Casos do Romualdo.md,WL-WORK-2183,T4,战争断裂与先锋化，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1914—1918：战争断裂与先锋化,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
Ceremony.md,WL-WORK-0918,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Certain Dark Things.md,WL-WORK-0495,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Chemmeen.md,WL-WORK-R3-18224226,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的扩散节点（读前预判）,1955—1965：世界真正多中心化,扩散,从欧洲中心到多中心世界文学,generated_from_generic,existing,stage,existing,yes
Cligès.md,WL-WORK-2185,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
Close Range.md,WL-WORK-2186,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Cockfight.md,WL-WORK-0496,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
"Cogewea, the Half-Blood.md",WL-WORK-2188,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Cogewea.md,WL-WORK-2187,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Color.md,WL-WORK-1527,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Comanche Moon.md,WL-WORK-2189,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
Contos Gauchescos.md,WL-WORK-2190,T4,世纪末危机与现代主义酝酿，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
Cotillion.md,WL-WORK-1951,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
Count Hannibal.md,WL-WORK-2192,T4,世纪末危机与现代主义酝酿，以“小杂志、翻译、流亡与跨国网络”为主要路径的转折节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,转折,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,T4,世纪末危机与现代主义酝酿，以“都市、技术与感知革命”为主要路径的转折节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,转折,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Cracking India.md,WL-WORK-0919,T6,冷战晚期与全球文学重组，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1980—1991：冷战晚期与全球文学重组,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
