file,code,priority,tradition,tradition_source,stage,role,axis_t,axis_r,axis_m,axis_g,axis_q
A Boy's Own Story.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长
A Court of Thorns and Roses.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
A General History of the Pyrates.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
A Gentleman of France.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客
A Head Full of Ghosts.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特
A Hunger Like No Other.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
A Knight's Own Book of Chivalry.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士
A Lady's Life in the Rocky Mountains.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记
A Long Way Gone.md,R7,◆,东非—斯瓦希里文学传统,existing,T6 当代全球文学 · 后殖民批判、城市经验与全球离散,殖民回应与民族文学建构,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
A Man Called Horse.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
A New Voyage Round the World.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT5 冒险与探索叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
A Princess in Theory.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
A Rumor of War.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,殖民回应与民族文学建构,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
A Small Place.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记
A Time of Gifts.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记
A Tour on the Prairies.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 国家文学、奴隶制回应与大众出版,区域扩展阅读,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
A Woman's Journey Round the World.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记
ABC谋杀案.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事
Across the Black Waters.md,R3,△,南亚英语文学传统,author_model,T4 全球现代主义时代 · 反殖民、现代主义与多语文学革新,区域扩展阅读,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤
Afsaneh ／ 传说.md,R3,△,南亚文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 反殖民、现代主义与多语文学革新,区域扩展阅读,T4 全球现代主义时代,R3 南亚文学,M3.1 现代主义 / Modernism,G3 小说,QH3 身份、身体与归属 | QH1 自我、存在与生命
All You Need Is Kill.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
Allan Quatermain.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事
Almanac of the Dead.md,R5,△,北美原住民文学传统,author_model,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Always Only You.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Ambiguity Machines and Other Stories.md,R3,△,南亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 全球南亚、英语写作与地方传统重组,区域扩展阅读,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
America Is in the Heart.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,翻译与跨传统连接,T5 二战后多极文学,R5 北美文学 | R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长
America Is in the Heart.md,R8,△,东南亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 独立战争、国家建构与政治创伤,翻译与跨传统连接,T5 二战后多极文学,R5 北美文学 | R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长
Amsterdam.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
An Area of Darkness.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 革命经验、文学爆炸与独裁回应,区域扩展阅读,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记
Angel Down.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
Aniceto el Gallo.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 独立建国、浪漫主义与国家文学,区域扩展阅读,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho
Anton Reiser.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.5 童年与成长
Anything for Billy.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗
Arabella.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.1 爱情与欲望
Arabian Sands.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记
As the Earth Turns Silver.md,R9,◆,英语新西兰文学传统,existing,T6 当代全球文学 · 生态危机、移民社会与跨太平洋传播,文类形成与区域典范,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
Aspremont.md,R4,△,伊比利亚文学传统,author_model,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士
Astoria.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 国家文学、奴隶制回应与大众出版,区域扩展阅读,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
"Astucia, el jefe de los Hermanos de la Hoja.md",R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 独立建国、浪漫主义与国家文学,区域扩展阅读,T3 19世纪现代文学体系,R6 拉丁美洲与加勒比,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗
Audition.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特
Auschwitz and After.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
Ayesha at Last.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
A代表不在场证明.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
Banalata Sen.md,R3,◆,孟加拉与东部语言文学传统,existing,T4 全球现代主义时代 · 反殖民、现代主义与多语文学革新,语言、书写与媒介转型,T4 全球现代主义时代,R3 南亚文学,M3.1 现代主义 / Modernism,G1 诗歌,QH5 权力、制度与秩序
Bandits.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗
Bar-20.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Bardelys the Magnificent.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客
Battle-Pieces.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 国家文学、奴隶制回应与大众出版,区域扩展阅读,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤
Beach Read.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Before I Let Go.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Before She Sleeps.md,R3,△,南亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 全球南亚、英语写作与地方传统重组,区域扩展阅读,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象
Before the Fall.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
Beirut Blues.md,R1,△,阿拉伯文学传统,existing,T6 当代全球文学 · 当代冲突、迁徙与全球传播,离散迁徙与跨区域连接,T6 当代全球文学,R1 西亚—地中海古老传统,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
Beirut Blues.md,R10,◆,阿拉伯—中东离散文学传统,existing,T6 当代全球文学 · 全球迁徙、数字传播与跨语文学网络,离散迁徙与跨区域连接,T6 当代全球文学,R1 西亚—地中海古老传统,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
Bellarion the Fortunate.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客
Benito Cereno.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 国家文学、奴隶制回应与大众出版,区域扩展阅读,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
Bet Me.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Between the Woods and the Water.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记
Bevis of Hampton.md,R4,△,伊比利亚文学传统,author_model,T1 中古多中心文学世界 · 基督教、宫廷与俗语文学形成,区域扩展阅读,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士
Big Rock Candy Mountain.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Black Lamb and Grey Falcon.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G6 纪实与文学非虚构,QT14 旅行与游记
"Black Leopard, Red Wolf.md",R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
Black Stone.md,R9,◆,巴布亚新几内亚—美拉尼西亚文学传统,existing,T6 当代全球文学 · 生态危机、移民社会与跨太平洋传播,传统转型与区域扩展,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
BLAST 第1号.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G4 散文与随笔,QH5 权力、制度与秩序
"Bless Me, Ultima.md",R5,★,拉美裔—奇卡诺美国文学传统,existing,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,文类形成与区域典范,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Blue Heaven.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
Bones.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
Book Lovers.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Borderlands ／ La Frontera.md,R5,★,拉美裔—奇卡诺美国文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,核心经典与传统确立,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Boyfriend Material.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
Bread Givers.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长
Brut.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士
Buffalo Wagons.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Bugles in the Afternoon.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Burnt Offerings.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特
Butcher's Crossing.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
California Girl.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
Cancioneiro Guasca.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · Modernismo、先锋派与本土现代性,区域扩展阅读,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho
Captain Singleton.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T2 早期现代文学 · 文艺复兴、宗教改革与印刷公共领域,区域扩展阅读,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗
Casos do Romualdo.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · Modernismo、先锋派与本土现代性,区域扩展阅读,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho
Ceremony.md,R5,★,北美原住民文学传统,existing,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,源头与经典奠基,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.5 西部
Certain Dark Things.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特
"Changó, el gran putas.md",R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
Chemmeen.md,R3,◆,泰米尔与南印度文学传统,existing,T5 二战后多极文学 · 独立分治、国家文学与离散书写,文类形成与区域典范,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
China Iron历险记.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho | QT8.7 侠盗
Cielitos.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho
