file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
A Small Place.md,WL-WORK-1343,A Small Place,,牙买加·金凯德,Jamaica Kincaid,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Time of Gifts.md,WL-WORK-1344,A Time of Gifts,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Tour on the Prairies.md,WL-WORK-2157,A Tour on the Prairies,,华盛顿·欧文,Washington Irving,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
A Woman's Journey Round the World.md,WL-WORK-1345,A Woman's Journey Round the World,,伊达·普费弗尔,Ida Pfeiffer,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
ABC谋杀案.md,WL-WORK-0025,ABC谋杀案,,阿加莎·克里斯蒂,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
Across the Black Waters.md,WL-WORK-1938,Across the Black Waters,,穆尔克·拉吉·安纳德,Mulk Raj Anand,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Adam Bell, Clim of the Clough and William of Cloudesley.md",WL-WORK-2158,"Adam Bell, Clim of the Clough and William of Cloudesley",,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Afsaneh ／ 传说.md,WL-WORK-1523,Afsaneh / 传说,,尼玛·尤什吉,Nima Yushij,,,,,MISSING_T_REVIEW_NO_YEAR,,title_aggregate_or_tradition,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Agents of Dreamland.md,WL-WORK-0491,Agents of Dreamland,,凯特琳·R.基尔南,Kiernan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
All You Need Is Kill.md,WL-WORK-0418,All You Need Is Kill,,樱坂洋,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
Allan Quatermain.md,WL-WORK-0492,Allan Quatermain,,哈格德,Rider Haggard,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Almanac of the Dead.md,WL-WORK-2159,Almanac of the Dead,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Always Only You.md,WL-WORK-1939,Always Only You,,克洛伊·利泽,Chloe Liese,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ambiguity Machines and Other Stories.md,WL-WORK-0477,Ambiguity Machines and Other Stories,,万达娜·辛格,Vandana Singh,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
America Is in the Heart.md,WL-WORK-0914,America Is in the Heart,,卡洛斯·布洛桑,Carlos Bulosan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
American Indian Myths and Legends.md,WL-WORK-1346,American Indian Myths and Legends,,理查德·厄尔多斯 / 阿方索·奥尔蒂斯,Richard Erdoes / Alfonso Ortiz,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Amsterdam.md,WL-WORK-3059,Amsterdam,Amsterdam,伊恩·麦克尤恩,Ian McEwan,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
An Area of Darkness.md,WL-WORK-1348,An Area of Darkness,,V.S.奈保尔,Naipaul,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Angel Down.md,WL-WORK-3034,Angel Down,Angel Down,丹尼尔·克劳斯,Daniel Kraus,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
Aniceto el Gallo.md,WL-WORK-2160,Aniceto el Gallo,,阿斯卡苏比,Hilario Ascasubi,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Anton Reiser.md,WL-WORK-0915,Anton Reiser,,卡尔·菲利普·莫里茨,Karl Philipp Moritz,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Anything for Billy.md,WL-WORK-2161,Anything for Billy,,拉里·麦克默特里,Larry McMurtry,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Arabella.md,WL-WORK-1940,Arabella,,乔吉特·海耶,Georgette Heyer,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Arabian Sands.md,WL-WORK-1349,Arabian Sands,,威尔弗雷德·塞西格,Wilfred Thesiger,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Aspremont.md,WL-WORK-2162,Aspremont,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Astoria.md,WL-WORK-2163,Astoria,,华盛顿·欧文,Irving,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Astucia, el jefe de los Hermanos de la Hoja.md",WL-WORK-2164,"Astucia, el jefe de los Hermanos de la Hoja",Astucia,路易斯·G.因克兰,Luis G. Inclán,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Audition.md,WL-WORK-0493,Audition,,村上龙,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Auschwitz and After.md,WL-WORK-1941,Auschwitz and After,,夏洛特·德尔博,Charlotte Delbo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ayesha at Last.md,WL-WORK-1942,Ayesha at Last,,乌兹玛·贾拉勒丁,Uzma Jalaluddin,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A代表不在场证明.md,WL-WORK-0095,A代表不在场证明,A Is for Alibi,苏·格拉夫顿,Sue Grafton,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
Banalata Sen.md,WL-WORK-1524,Banalata Sen,,吉巴纳南达·达斯,Jibanananda Das,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bandits.md,WL-WORK-2165,Bandits,,艾瑞克·霍布斯鲍姆,Eric Hobsbawm,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Bar-20.md,WL-WORK-2166,Bar-20,,克拉伦斯·E.马尔福德,Clarence E. Mulford,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bardelys the Magnificent.md,WL-WORK-2167,Bardelys the Magnificent,,拉斐尔·萨巴蒂尼,Rafael Sabatini,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Battle-Pieces.md,WL-WORK-1943,Battle-Pieces,,赫尔曼·麦尔维尔,Herman Melville,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Beach Read.md,WL-WORK-1944,Beach Read,,埃米莉·亨利,Emily Henry,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Before I Let Go.md,WL-WORK-1945,Before I Let Go,,肯尼迪·瑞安,Kennedy Ryan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Before She Sleeps.md,WL-WORK-0916,Before She Sleeps,,比娜·沙阿,Bina Shah,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Before the Fall.md,WL-WORK-3143,Before the Fall,Before the Fall,诺亚·霍利,Noah Hawley,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
Beirut Blues.md,WL-WORK-1946,Beirut Blues,,哈南·谢赫,Hanan al-Shaykh,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bellarion the Fortunate.md,WL-WORK-2168,Bellarion the Fortunate,,拉斐尔·萨巴蒂尼,Rafael Sabatini,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Benito Cereno.md,WL-WORK-2169,Benito Cereno,,赫尔曼·麦尔维尔,Herman Melville,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Bet Me.md,WL-WORK-1947,Bet Me,,珍妮弗·克鲁西,Jennifer Crusie,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Between the Woods and the Water.md,WL-WORK-1350,Between the Woods and the Water,,帕特里克·利·弗莫尔,Patrick Leigh Fermor,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bevis of Hampton.md,WL-WORK-2170,Bevis of Hampton,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Big Rock Candy Mountain.md,WL-WORK-2171,Big Rock Candy Mountain,,华莱士·斯特格纳,Wallace Stegner,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
BJ单身日记.md,WL-WORK-1948,BJ单身日记,,海伦·菲尔丁,Helen Fielding,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Black Lamb and Grey Falcon.md,WL-WORK-1351,Black Lamb and Grey Falcon,,丽贝卡·韦斯特,Rebecca West,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Black Leopard, Red Wolf.md",WL-WORK-2173,"Black Leopard, Red Wolf",,马龙·詹姆斯,Marlon James,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Blue Heaven.md,WL-WORK-3135,Blue Heaven,Blue Heaven,C.J.博克斯,C.J. Box,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
Bones.md,WL-WORK-3126,Bones,Bones,简·伯克,Jan Burke,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
Book Lovers.md,WL-WORK-1949,Book Lovers,,埃米莉·亨利,Emily Henry,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Borderlands ／ La Frontera.md,WL-WORK-2175,Borderlands / La Frontera,,格洛丽亚·安扎尔杜亚,Gloria Anzaldúa,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Boyfriend Material.md,WL-WORK-1950,Boyfriend Material,,亚历克西斯·霍尔,Alexis Hall,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Bread Givers.md,WL-WORK-0917,Bread Givers,,安齐娅·叶济尔斯卡,Anzia Yezierska,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Brut.md,WL-WORK-2176,Brut,,亚瑟王出现,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Buffalo Wagons.md,WL-WORK-2177,Buffalo Wagons,,埃尔默·凯尔顿,Elmer Kelton,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Bugles in the Afternoon.md,WL-WORK-2178,Bugles in the Afternoon,,欧内斯特·海科克斯,Ernest Haycox,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Burnt Offerings.md,WL-WORK-0494,Burnt Offerings,,罗伯特·马拉斯科,Robert Marasco,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Butcher's Crossing.md,WL-WORK-2179,Butcher's Crossing,,约翰·威廉斯,John Williams,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
California Girl.md,WL-WORK-3131,California Girl,California Girl,T.杰斐逊·帕克,T. Jefferson Parker,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
Cancioneiro Guasca.md,WL-WORK-2180,Cancioneiro Guasca,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Captain Singleton.md,WL-WORK-2182,Captain Singleton,,丹尼尔·笛福,Daniel Defoe,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Casos do Romualdo.md,WL-WORK-2183,Casos do Romualdo,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Ceremony.md,WL-WORK-0918,Ceremony,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Certain Dark Things.md,WL-WORK-0495,Certain Dark Things,,西尔维娅·莫雷诺-加西亚,Silvia Moreno-Garcia,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
China Iron历险记.md,WL-WORK-1526,China Iron历险记,,加夫列拉·卡贝松·卡马拉,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cligès.md,WL-WORK-2185,Cligès,,克雷蒂安·德·特鲁瓦,,,T1 中古多中心文学世界,T1,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Close Range.md,WL-WORK-2186,Close Range,,安妮·普鲁,Proulx,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Cockfight.md,WL-WORK-0496,Cockfight,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Cogewea, the Half-Blood.md",WL-WORK-2188,"Cogewea, the Half-Blood",,哀鸽,Mourning Dove,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cogewea.md,WL-WORK-2187,Cogewea,,哀鸽,Mourning Dove,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Color.md,WL-WORK-1527,Color,,康蒂·卡伦,Countee Cullen,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Comanche Moon.md,WL-WORK-2189,Comanche Moon,,拉里·麦克默特里,Larry McMurtry,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Contos Gauchescos.md,WL-WORK-2190,Contos Gauchescos,,西蒙斯·洛佩斯·内托,Simões Lopes Neto,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Corrido de Gregorio Cortez.md,WL-WORK-2191,Corrido de Gregorio Cortez,,佚名,Gregorio Cortez,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cotillion.md,WL-WORK-1951,Cotillion,,乔吉特·海耶,Georgette Heyer,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Count Hannibal.md,WL-WORK-2192,Count Hannibal,,斯坦利·韦曼,Stanley Weyman,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cowboy Songs and Other Frontier Ballads.md,WL-WORK-2193,Cowboy Songs and Other Frontier Ballads,,约翰·A.洛马克斯,John A. Lomax,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cracking India.md,WL-WORK-0919,Cracking India,,巴普西·西德瓦,Bapsi Sidhwa,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
"Crick Crack, Monkey.md",WL-WORK-1528,"Crick Crack, Monkey",,默尔·霍奇,Merle Hodge,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Cryptonomicon.md,WL-WORK-0920,Cryptonomicon,,尼尔·斯蒂芬森,Neal Stephenson,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Curial e Güelfa.md,WL-WORK-2194,Curial e Güelfa,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Cycle of the Werewolf.md,WL-WORK-0497,Cycle of the Werewolf,,斯蒂芬·金,Stephen King,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Dance Hall of the Dead.md,WL-WORK-2195,Dance Hall of the Dead,,托尼·希勒曼,Tony Hillerman,1973,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Darangen.md,WL-WORK-1352,Darangen,,佚名,菲律宾Maranao,,T1 中古多中心文学世界,T1,,HAS_T,,anonymous_or_oral,已有有效 T0–T6 坐标,自动通过,metadata_pending,
"Dark Continent, My Black Arse.md",WL-WORK-1353,"Dark Continent, My Black Arse",,西赫勒·库马洛,Sihle Khumalo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dark Fire.md,WL-WORK-0921,Dark Fire,,C.J.桑瑟姆,C.J. Sansom,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
Dark Lover.md,WL-WORK-1952,Dark Lover,,J.R.沃德,J.R. Ward,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
Dead in the West.md,WL-WORK-2196,Dead in the West,,乔·R.兰斯代尔,Joe R. Lansdale,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
