tier,file,id,title,title_original,author,author_original,canon_id,awards,source_ref_keys,topics,deep_status,deep_earliest_year,deep_earliest_t,deep_first_publish_year,deep_first_publish_t,deep_title,deep_authors,deep_key,deep_year_count,deep_year_min,deep_year_max,deep_match_score,resolution_status,chosen_t,canonical_year_candidate,resolution_reason
P2_EXTERNAL_MATCH_FRIENDLY,An African in Greenland.md,WL-WORK-1347,An African in Greenland,,托戈·科波马西,Kpomassie,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,"Bless Me, Ultima.md",WL-WORK-2174,"Bless Me, Ultima",,鲁道夫·阿纳亚,Rudolfo Anaya,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Cangaceiros.md,WL-WORK-2181,Cangaceiros,,若泽·林斯·多雷戈,巴西,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Ceremony.md,WL-WORK-0918,Ceremony,,莱斯利·马蒙·西尔科,Leslie Marmon Silko,,,batch2_source_refs;batch6_source_refs,WL-TOPIC-G44-HISTORICAL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,"Changó, el gran putas.md",WL-WORK-1525,"Changó, el gran putas",,曼努埃尔·萨帕塔·奥利韦利亚,Afro-Latin史诗性书写,,,batch4_source_refs,WL-TOPIC-R6-LATAM,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Cielitos.md,WL-WORK-2184,Cielitos,,巴托洛梅·伊达尔戈,Hidalgo,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Cockfight.md,WL-WORK-0496,Cockfight,,玛丽亚·费尔南达·安普埃罗,María Fernanda Ampuero,,,batch1_source_refs,WL-TOPIC-G45-HORROR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Cogewea.md,WL-WORK-2187,Cogewea,,哀鸽,Mourning Dove,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Destry Rides Again.md,WL-WORK-2200,Destry Rides Again,,马克斯·布兰德,Max Brand,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Diálogos patrióticos.md,WL-WORK-2201,Diálogos patrióticos,,巴托洛梅·伊达尔戈,Hidalgo,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,El guacho Martín Fierro.md,WL-WORK-2206,El guacho Martín Fierro,,法里尼亚,Fariña,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,El inglés de los güesos.md,WL-WORK-2207,El inglés de los güesos,,贝尼托·林奇,Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,El payador.md,WL-WORK-2211,El payador,,莱奥波尔多·卢贡内斯,Lugones,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,El romance de un gaucho.md,WL-WORK-2212,El romance de un gaucho,,贝尼托·林奇,Lynch,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Eldorado.md,WL-WORK-2215,Eldorado,,奥希兹男爵夫人,Baroness Orczy,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Facundo／ Civilization and Barbarism.md,WL-WORK-2224,Facundo: Civilization and Barbarism,,萨米恩托,Domingo Faustino Sarmiento,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Fausto.md,WL-WORK-2225,Fausto,,埃斯塔尼斯劳·德尔·坎波,del Campo的,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Flashman.md,WL-WORK-2227,Flashman,,乔治·麦克唐纳·弗雷泽,Flashman系列，从,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,"Get a Life, Chloe Brown.md",WL-WORK-1961,"Get a Life, Chloe Brown",,塔莉娅·希伯特,Talia Hibbert,,,batch5_source_refs,WL-TOPIC-Q2-LOVE,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Grito de Gloria.md,WL-WORK-2236,Grito de Gloria,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Harvest Home.md,WL-WORK-0502,Harvest Home,,托马斯·特赖恩,Thomas Tryon,,,batch1_source_refs,WL-TOPIC-G45-HORROR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,How the Soldier Repairs the Gramophone.md,WL-WORK-1965,How the Soldier Repairs the Gramophone,,萨沙·斯塔尼希奇,Saša Stanišić,,,batch5_source_refs,WL-TOPIC-Q6-WAR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,I Will Repay.md,WL-WORK-2246,I Will Repay,,奥希兹男爵夫人,Baroness Orczy,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Ismael.md,WL-WORK-2249,Ismael,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Jerilderie Letter.md,WL-WORK-2251,Jerilderie Letter,,内德·凯利,Ned Kelly,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Joseph d'Arimathie.md,WL-WORK-2253,Joseph d'Arimathie,,罗贝尔·德·博龙,Robert de Boron,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Juan Cuello.md,WL-WORK-2254,Juan Cuello,,爱德华多·古铁雷斯,Eduardo Gutiérrez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Juan Moreira.md,WL-WORK-2255,Juan Moreira,,爱德华多·古铁雷斯,Gutiérrez,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Kalpa Imperial.md,WL-WORK-0472,Kalpa Imperial,,安赫利卡·戈罗迪舍尔,Angélica Gorodischer,,,,WL-TOPIC-G45-SF,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Kernok the Pirate.md,WL-WORK-2256,Kernok the Pirate,,欧仁·苏,Eugène Sue,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-PIRATE,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Kintu.md,WL-WORK-0932,Kintu,,珍妮弗·南布西·马昆比,与Makumbi,,,batch2_source_refs,WL-TOPIC-G43-FAMILY,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,La cautiva.md,WL-WORK-2258,La cautiva,,埃斯特万·埃切维里亚,Echeverría,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,La guerra gaucha.md,WL-WORK-2259,La guerra gaucha,,莱奥波尔多·卢贡内斯,Lugones,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Las aventuras de la China Iron.md,WL-WORK-2267,Las aventuras de la China Iron,,加布里埃拉·卡贝松·卡马拉,Cabezón Cámara,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Le Capitan.md,WL-WORK-2269,Le Capitan,,米歇尔·泽瓦科,Le Capitan,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Little Big Man.md,WL-WORK-2273,Little Big Man,,托马斯·伯杰,Thomas Berger,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Los tres gauchos orientales.md,WL-WORK-2278,Los tres gauchos orientales,,安东尼奥·卢西奇,Lussich,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Maid Marian.md,WL-WORK-2279,Maid Marian,,托马斯·洛夫·皮科克,Peacock,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Masterman Ready.md,WL-WORK-0510,Masterman Ready,,弗雷德里克·马里亚特,Marryat,,,batch1_source_refs,WL-TOPIC-G45-ADVENTURE,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Merlin.md,WL-WORK-2282,Merlin,,T.H.怀特,T.H. White,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Minty Alley.md,WL-WORK-1536,Minty Alley,,C.L.R.詹姆斯,C. L. R. James,,,batch4_source_refs,WL-TOPIC-M3-MODERNISM,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Nativa.md,WL-WORK-2289,Nativa,,阿塞韦多·迪亚斯,Acevedo Díaz,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Naufragios.md,WL-WORK-0515,Naufragios,,卡贝萨·德·巴卡,Cabeza de Vaca,,,batch1_source_refs;batch3_source_refs;batch6_source_refs,WL-TOPIC-G45-ADVENTURE;WL-TOPIC-G7-TRAVEL;WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Palmerín de Inglaterra.md,WL-WORK-2298,Palmerín de Inglaterra,,弗朗西斯科·德·莫拉埃斯,Francisco de Moraes,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Parzival.md,WL-WORK-2301,Parzival,,沃尔夫拉姆·冯·埃申巴赫,Wolfram的,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Paulino Lucero.md,WL-WORK-2302,Paulino Lucero,,阿斯卡苏比,Ascasubi,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Peregrine's Progress.md,WL-WORK-2305,Peregrine's Progress,,杰弗里·法诺尔,Farnol,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-SWASHBUCKLER,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Personal Narrative.md,WL-WORK-1365,Personal Narrative,,亚历山大·冯·洪堡,Humboldt,,,batch3_source_refs,WL-TOPIC-G7-TRAVEL,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Riders of the Silences.md,WL-WORK-2317,Riders of the Silences,,马克斯·布兰德,Max Brand,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,"Rinaldo Rinaldini, the Robber Captain.md",WL-WORK-2319,"Rinaldo Rinaldini, the Robber Captain",,克里斯蒂安·奥古斯特·武尔皮乌斯,Christian August Vulpius,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-OUTLAW,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Brut.md,WL-WORK-2330,Roman de Brut,,瓦斯,Wace,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Silence.md,WL-WORK-2331,Roman de Silence,,康沃尔的埃尔德里斯,Heldris of Cornwall,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-KNIGHT,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Santos Vega o los mellizos de la Flor.md,WL-WORK-2337,Santos Vega o los mellizos de la Flor,,阿斯卡苏比,Ascasubi,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Santos Vega.md,WL-WORK-2336,Santos Vega,,拉斐尔·奥夫利加多,Obligado,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-GAUCHO,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Segu.md,WL-WORK-0942,Segu,,玛丽斯·孔戴,Maryse Condé,,,batch2_source_refs,WL-TOPIC-G43-FAMILY,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Seth Jones.md,WL-WORK-2338,Seth Jones,,爱德华·S.埃利斯,Edward S. Ellis,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Shadowland.md,WL-WORK-0518,Shadowland,,彼得·斯特劳布,Peter Straub,,,batch1_source_refs,WL-TOPIC-G45-HORROR,INTERNAL_CONFLICT,1980,T6,1980,T6,Shadowland,Peter Straub,/works/OL114303W,11,1980,2003,2.000,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Sinophagia／ A Celebration of Chinese Horror.md,WL-WORK-0519,Sinophagia: A Celebration of Chinese Horror,,倪雪婷,Xueting C. Ni,,,batch1_source_refs,WL-TOPIC-G45-HORROR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Smoky the Cowhorse.md,WL-WORK-2344,Smoky the Cowhorse,,威尔·詹姆斯,Will James,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Teatro Grottesco.md,WL-WORK-0522,Teatro Grottesco,,托马斯·利戈蒂,Ligotti,,,batch1_source_refs,WL-TOPIC-G45-HORROR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Tell Me I'm Worthless.md,WL-WORK-0523,Tell Me I'm Worthless,,艾莉森·拉姆菲特,Alison Rumfitt,,,batch1_source_refs,WL-TOPIC-G45-HORROR,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,Thaddeus of Warsaw.md,WL-WORK-0945,Thaddeus of Warsaw,,简·波特,Jane Porter,,,batch2_source_refs,WL-TOPIC-G44-HISTORICAL,INTERNAL_CONFLICT,1800,T3,1800,T3,Thaddeus of Warsaw,Jane Porter,/works/OL4078169W,36,1800,2020,2.000,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
P2_EXTERNAL_MATCH_FRIENDLY,The Adventures of Col. Daniel Boone.md,WL-WORK-2355,The Adventures of Col. Daniel Boone,,约翰·菲尔森,John Filson,,,batch6_source_refs,WL-TOPIC-Q15;WL-TOPIC-Q15-WESTERN,NO_RELIABLE_MATCH,,,,,,,,,,,,REVIEW,,,无可靠深层匹配或版次年份与 first_publish_year 的 T 区间不稳定
