work,id,topic,priority,topic_affiliation,genealogy_position,topic_role,role_source
Passing.md,WL-WORK-3222,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
Quicksand.md,WL-WORK-3223,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
Spring and All.md,WL-WORK-1538,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
Tarr.md,WL-WORK-1540,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
The Conjure-Man Dies.md,WL-WORK-1542,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
The Girl Who Killed to Save.md,WL-WORK-3224,M3.1,★,殖民与跨国现代主义,全球现代主义的跨国流动与殖民经验 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
The New Negro.md,WL-WORK-1543,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
V..md,WL-WORK-M51-7dd56f7890,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
Zang Tumb Tuuum.md,WL-WORK-M32-Zang-Tumb-Tuuum,M3.2,★,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 核心形成与典范确立,核心典范与形式确立,priority_core
一个世纪儿的忏悔.md,WL-WORK-M2-505265B436A1,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
一个青年艺术家的画像.md,WL-WORK-0961,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
一九三〇年春上海.md,WL-WORK-M4-b9d98bf4,M4,★,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
一亿五千万.md,WL-WORK-M32-u4e00-u4ebf-u4e94-u5343-u4e07,M3.2,◆,俄国未来主义,1910年代革命前后的语言与形式激进化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
一位女士的画像.md,WL-WORK-2003,M2,★,现实主义,19世纪中期现实主义成熟 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
一粒麦种.md,WL-WORK-0963,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
一粒麦种.md,WL-WORK-0963,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
一间自己的房间.md,WL-WORK-1548,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
一间自己的房间.md,WL-WORK-1548,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
七个疯子.md,WL-WORK-1549,M3.1,◆,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
七日谈.md,WL-WORK-M1-17057873,M1,◆,人文主义,古典复兴与人文主义奠基 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
万有引力之虹.md,WL-WORK-1551,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
三只忧伤的老虎.md,WL-WORK-1554,M4,◆,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
三种生活.md,WL-WORK-1555,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
上帝的长号.md,WL-WORK-M4-daf12c74,M4,◆,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
上海.md,WL-WORK-1557,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
上课.md,WL-WORK-M51-e240d02fab,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
不可接触者.md,WL-WORK-1560,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
与麻烦共处.md,WL-WORK-3269,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 核心形成与典范确立,核心典范与形式确立,priority_core
世俗的圣歌及其他诗篇.md,WL-WORK-M2-A7B5FBA017F2,M2,★,拉美 Modernismo,世纪末拉美现代主义前驱 · 核心形成与典范确立,核心典范与形式确立,priority_core
世界的词语是森林.md,WL-WORK-3241,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
东方主义.md,WL-WORK-3225,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
丰收之歌.md,WL-WORK-M4-143c3865,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
为奴隶的母亲.md,WL-WORK-M4-d2a9b13d,M4,★,革命文学,革命动员与集体主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
乌托邦.md,WL-WORK-0257,M1,★,人文主义,古典复兴与人文主义奠基 · 核心形成与典范确立,核心典范与形式确立,priority_core
乌贼骨.md,WL-WORK-1567,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
乔瓦尼的房间.md,WL-WORK-1568,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
九三年.md,WL-WORK-0973,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
乞丐.md,WL-WORK-M32-u4e5e-u4e10,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
了不起的盖茨比.md,WL-WORK-1569,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
事实文学.md,WL-WORK-M32-u4e8b-u5b9e-u6587-u5b66,M3.2,★,构成主义、LEF与事实文学,革命后苏俄艺术生产与事实文学 · 核心形成与典范确立,核心典范与形式确立,priority_core
二十首在电车上读的诗.md,WL-WORK-M32-u4e8c-u5341-u9996-u5728-u7535-u8f66-u4e0a-u8bfb-u7684-u8bd7,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
二月.md,WL-WORK-2684,M4,★,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
交流的器皿.md,WL-WORK-M32-u4ea4-u6d41-u7684-u5668-u76bf,M3.2,◆,超现实主义,1920年代后无意识、自动书写与革命想象 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
人民公仆.md,WL-WORK-1574,M4,◆,反殖民文学运动,二战后去殖民与民族解放文学 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
人物志.md,WL-WORK-M1-51034912,M1,◆,古典主义,规则、宫廷与公共规范化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
人生如梦.md,WL-WORK-R4-人生如梦,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
人生拼图版.md,WL-WORK-1576,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
人的境况.md,WL-WORK-M51-7a0e590cfa,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
人类的黄昏.md,WL-WORK-M32-u4eba-u7c7b-u7684-u9ec4-u660f,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
人都是要死的.md,WL-WORK-M51-b8f5007c17,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
人间王国.md,WL-WORK-0979,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
从早晨到午夜.md,WL-WORK-M32-u4ece-u65e9-u6668-u5230-u5348-u591c,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
他人的血.md,WL-WORK-M51-53bc83870c,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
他们眼望上苍.md,WL-WORK-1581,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
他们眼望上苍.md,WL-WORK-1581,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
仙后.md,WL-WORK-M1-76541979,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
伊斯梅利略.md,WL-WORK-M2-7A6E3BA9D5E1,M2,◆,拉美 Modernismo,世纪末拉美现代主义前驱 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
休·赛尔温·毛伯利.md,WL-WORK-1584,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
伪君子.md,WL-WORK-2830,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
伪币制造者.md,WL-WORK-1586,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 核心形成与典范确立,核心典范与形式确立,priority_core
佩利亚斯与梅丽桑德.md,WL-WORK-M2-3C2840501067,M2,★,象征主义,世纪末象征主义与现代主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
佩德罗·巴拉莫.md,WL-WORK-0987,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
使命.md,WL-WORK-1587,M3.1,◆,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
使女的故事.md,WL-WORK-0363,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
保尔和维吉妮.md,WL-WORK-M1-51815892,M1,◆,感伤主义,情感转向与浪漫主义前夜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
倒着的世界.md,WL-WORK-M32-u5012-u7740-u7684-u4e16-u754c,M3.2,◆,俄国未来主义,1910年代革命前后的语言与形式激进化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
倾城之恋.md,WL-WORK-1590,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
傅科摆.md,WL-WORK-M51-5ae21b4678,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
儿子.md,WL-WORK-M32-u513f-u5b50,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
儿子与情人.md,WL-WORK-0993,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
先人祭.md,WL-WORK-M4-81b4b0df,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
克拉丽莎.md,WL-WORK-2020,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
克拉普的最后一盘磁带.md,WL-WORK-M51-7bd506aa85,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
克林比耶.md,WL-WORK-M4-4648633c,M4,◆,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
克莱芙王妃.md,WL-WORK-0995,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
党生活者.md,WL-WORK-M4-de605d48,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
六个寻找作者的剧中人.md,WL-WORK-1592,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
关于这个.md,WL-WORK-M32-u5173-u4e8e-u8fd9-u4e2a,M3.2,◆,构成主义、LEF与事实文学,革命后苏俄艺术生产与事实文学 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
典仪.md,WL-WORK-3274,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
内在脚手架.md,WL-WORK-M32-u5185-u5728-u811a-u624b-u67b6,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 核心形成与典范确立,核心典范与形式确立,priority_core
凯尔特曙光.md,WL-WORK-M4-65b086d0,M4,◆,民族主义文学,19世纪民族建构与语言文化共同体形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
到灯塔去.md,WL-WORK-1006,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
前进，达达.md,WL-WORK-M32-u524d-u8fdb-uff0c-u8fbe-u8fbe,M3.2,◆,达达主义,一战时期反艺术与制度否定 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
加莱市民.md,WL-WORK-M32-u52a0-u83b1-u5e02-u6c11,M3.2,◆,德语表现主义,一战前后都市、战争与主体危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
动物园故事.md,WL-WORK-M51-68459d5ec8,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
勒内.md,WL-WORK-M2-62EF7614199C,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
包法利夫人.md,WL-WORK-2028,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
包身工.md,WL-WORK-M4-14bf6440,M4,★,革命文学,革命动员与集体主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
十日谈.md,WL-WORK-2813,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
午夜之子.md,WL-WORK-0611,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
午夜之子.md,WL-WORK-0611,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
半轮黄日.md,WL-WORK-1009,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
华夏集.md,WL-WORK-1605,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
南方认识论.md,WL-WORK-3239,M5.2,◆,去殖民,20世纪后期殖民性与知识体系批判 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
卡勒瓦拉.md,WL-WORK-0613,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
卡彭塔利亚湾.md,WL-WORK-R9-007,M5.2,◆,去殖民,20世纪后期殖民性与知识体系批判 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
卡拉瓦内.md,WL-WORK-M32-u5361-u62c9-u74e6-u5185,M3.2,★,达达主义,一战时期反艺术与制度否定 · 核心形成与典范确立,核心典范与形式确立,priority_core
卡拉马佐夫兄弟.md,WL-WORK-2842,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
卡迪什.md,WL-WORK-M4-22ef503c,M4,◆,垮掉的一代,1950年代反文化文学共同体 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
卢济塔尼亚人之歌.md,WL-WORK-3168,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
印度之行.md,WL-WORK-1607,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
印度之行.md,WL-WORK-1607,M4,◆,反殖民文学运动,二战后去殖民与民族解放文学 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
印度之行.md,WL-WORK-1607,M5.2,◆,后殖民,二战后帝国解体与表述政治形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
危险关系.md,WL-WORK-2031,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
去斯万家那边.md,WL-WORK-1610,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 核心形成与典范确立,核心典范与形式确立,priority_core
去殖民化心灵.md,WL-WORK-3233,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
去殖民化方法论.md,WL-WORK-3234,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
反击.md,WL-WORK-M32-u53cd-u51fb,M3.2,★,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
变.md,WL-WORK-1611,M5.1,★,法国新小说,1950—1970年代再现与人物危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
变形记（卡夫卡）.md,WL-WORK-2845,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
古斯特少尉.md,WL-WORK-1613,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
古舟子咏.md,WL-WORK-M2-6E4EC00F3A93,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
可怜的丽莎.md,WL-WORK-M1-05136802,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
可溶的鱼.md,WL-WORK-M32-u53ef-u6eb6-u7684-u9c7c,M3.2,◆,超现实主义,1920年代后无意识、自动书写与革命想象 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
叶之屋.md,WL-WORK-0621,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
叶甫盖尼·奥涅金.md,WL-WORK-M2-0FD416E4AD62,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
名利场.md,WL-WORK-2035,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
名士风流.md,WL-WORK-M51-db2a646265,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
向性.md,WL-WORK-M51-d1aa5e850f,M5.1,★,法国新小说,1950—1970年代再现与人物危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
君主论.md,WL-WORK-M1-55613473,M1,★,人文主义,古典复兴与人文主义奠基 · 核心形成与典范确立,核心典范与形式确立,priority_core
呐喊.md,WL-WORK-1619,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
咆哮了的土地.md,WL-WORK-M4-869ce19a,M4,★,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
哈克贝利·费恩历险记.md,WL-WORK-0625,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
哈姆雷特.md,WL-WORK-2825,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
哈莱姆之家.md,WL-WORK-1620,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
哈莱姆之家.md,WL-WORK-1620,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
哲学通信.md,WL-WORK-M1-47240802,M1,◆,启蒙主义,启蒙公共领域与理性批判成熟 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
唐璜.md,WL-WORK-M2-0910E69A00DB,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
喧哗与骚动.md,WL-WORK-1025,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
嘉尔西拉索诗集.md,WL-WORK-M1-68876650,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
嘉莉妹妹.md,WL-WORK-R5-015,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
嚎叫.md,WL-WORK-1622,M4,★,垮掉的一代,1950年代反文化文学共同体 · 核心形成与典范确立,核心典范与形式确立,priority_core
四个四重奏.md,WL-WORK-1623,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
回归故里.md,WL-WORK-M4-c7948779,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 核心形成与典范确立,核心典范与形式确立,priority_core
图像诗.md,WL-WORK-1625,M3.1,◆,法国现代主义,法国都市现代性与文学实验 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
土生子.md,WL-WORK-1626,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
圣殿.md,WL-WORK-M1-40482591,M1,◆,巴洛克,秩序危机与巴洛克复杂化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
在我们的时代里.md,WL-WORK-1628,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
在路上.md,WL-WORK-1630,M4,★,垮掉的一代,1950年代反文化文学共同体 · 核心形成与典范确立,核心典范与形式确立,priority_core
在迷宫中.md,WL-WORK-M51-419cc98e93,M5.1,◆,法国新小说,1950—1970年代再现与人物危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
地下世界.md,WL-WORK-M51-5f68b153c6,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
地下室手记.md,WL-WORK-1631,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 核心形成与典范确立,核心典范与形式确立,priority_core
地方历史／全球设计.md,WL-WORK-3236,M5.2,◆,去殖民,20世纪后期殖民性与知识体系批判 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
坎塔普拉.md,WL-WORK-1632,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
埃塞俄比亚颂.md,WL-WORK-M4-93bf1c16,M4,◆,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
城堡.md,WL-WORK-1635,M3.1,◆,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
城市与狗.md,WL-WORK-1039,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 核心形成与典范确立,核心典范与形式确立,priority_core
城市（马普莱斯·阿尔塞）.md,WL-WORK-M32-URBE-MAPLES-ARCE,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
堂吉诃德.md,WL-WORK-1042,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
堕落.md,WL-WORK-M51-29e9705bd6,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
塔尔.md,WL-WORK-M32-u5854-u5c14,M3.2,◆,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
