ID,作品中文常用名,Original_or_English_Title,作者中文名,Author,国家_文学传统,原始语言,首次成书_出版时间,时代,体裁,主题_类型标签,Canon_Level,Academic_Canon,Global_Influence,Traditional_Recognition,经典化理由,方法学依据,建议阅读优先级,个人状态,方法学参考来源URL
CANON-011,摩诃婆罗多,Mahabharata,传统归于毗耶娑,Vyasa (trad.),古印度,梵语,约前4世纪—4世纪,古代,史诗,战争;伦理;宗教;家族,Core,高,高,中,南亚文明最重要的史诗之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-012,罗摩衍那,Ramayana,传统归于蚁垤,Valmiki (trad.),古印度,梵语,约前5世纪—3世纪,古代,史诗,英雄;爱情;伦理,Core,高,高,中,南亚文学与表演传统的基础经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-013,沙恭达罗,Abhijnanasakuntalam / Shakuntala,迦梨陀娑,Kalidasa,古印度,梵语,约4—5世纪,古代,戏剧,爱情;宫廷;身份,Major,高,高,中,梵语戏剧最著名的代表作之一,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-014,列王纪,Shahnameh / Book of Kings,菲尔多西,Ferdowsi,波斯,波斯语,约1010,中世纪,史诗,历史;英雄;民族记忆,Core,高,高,中,波斯语文学最具标志性的民族史诗,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-015,一千零一夜,One Thousand and One Nights,多作者,Various,阿拉伯—波斯—南亚传统,阿拉伯语等,约8—14世纪形成,中世纪,故事集,奇幻;冒险;民间故事,Core,高,高,高,世界故事文学最重要的母体之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-016,源氏物语,The Tale of Genji,紫式部,Murasaki Shikibu,日本,日语,约1008,中世纪,长篇叙事,宫廷;爱情;心理,Core,高,高,高,世界早期长篇小说史上的核心文本,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-017,枕草子,The Pillow Book,清少纳言,Sei Shonagon,日本,日语,约1002,中世纪,随笔,宫廷;审美;日常,Major,高,中,中,日本平安时代文学与审美的代表,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-018,平家物语,The Tale of the Heike,佚名/口传传统,Anonymous / oral tradition,日本,日语,约13世纪,中世纪,军记物语,战争;无常;武士,Major,高,中,中,日本武士文学和无常观的经典,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-019,贝奥武甫,Beowulf,佚名,Anonymous,盎格鲁-撒克逊英格兰,古英语,约8—11世纪,中世纪,史诗,英雄;怪物;荣誉,Core,高,高,中,古英语文学的核心史诗,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-020,罗兰之歌,The Song of Roland,佚名,Anonymous,法国,古法语,约1100,中世纪,英雄史诗,骑士;战争;忠诚,Major,高,中,中,欧洲骑士文学传统的关键文本,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-021,尼伯龙根之歌,Nibelungenlied,佚名,Anonymous,德语区,中古高地德语,约1200,中世纪,英雄史诗,英雄;复仇;命运,Major,高,中,中,德语中世纪英雄文学的核心经典,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-022,尼雅尔萨迦,Njáls saga,佚名,Anonymous,冰岛,古诺尔斯语,约13世纪,中世纪,萨迦,家族;法律;复仇,Extended,高,中,低,冰岛萨迦传统的代表作,区域/类型/时期经典地位稳定；用于扩展世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-023,神曲,The Divine Comedy,但丁,Dante Alighieri,意大利,意大利语,约1308—1321,中世纪,长篇叙事诗,宗教;旅程;政治,Core,高,高,高,欧洲文学史最核心的诗性巨著之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-024,坎特伯雷故事集,The Canterbury Tales,杰弗里·乔叟,Geoffrey Chaucer,英格兰,中古英语,约1387—1400,中世纪,故事集/叙事诗,社会;旅行;讽刺,Core,高,高,中,英语文学传统的重要起点,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-025,十日谈,The Decameron,乔万尼·薄伽丘,Giovanni Boccaccio,意大利,意大利语,约1353,中世纪,故事集,欲望;瘟疫;社会,Core,高,高,高,欧洲短篇小说与世俗叙事的重要源头,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-026,诗经,Book of Songs / Shijing,佚名/传统编纂,Anonymous / traditional compilation,中国,古汉语,约前11—前7世纪,古代,诗歌总集,诗歌;礼俗;爱情;社会,Core,高,高,高,中国诗歌传统最早且最重要的经典之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-027,楚辞,Songs of Chu / Chuci,屈原等,Qu Yuan and others,中国,古汉语,战国—汉初,古代,诗歌总集,抒情;神话;政治,Core,高,中,高,中国浪漫主义与抒情诗传统的重要源头,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-028,史记,Records of the Grand Historian,司马迁,Sima Qian,中国,古汉语,约前91,古代,史传文学,历史;人物;政治,Core,高,高,高,兼具史学与文学地位的中国叙事经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-029,西厢记,The Romance of the Western Chamber,王实甫,Wang Shifu,中国,汉语,约13世纪,中世纪,戏曲,爱情;礼教,Major,高,中,中,中国古典爱情戏曲代表作,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-030,三国演义,Romance of the Three Kingdoms,罗贯中,Luo Guanzhong,中国,汉语,14世纪,古典,长篇小说,历史;战争;权谋,Core,高,高,高,中国四大名著之一，东亚影响极广,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-031,水浒传,Water Margin,施耐庵（传统署名）,Shi Nai'an (trad.),中国,汉语,14世纪,古典,长篇小说,侠义;反抗;群像,Core,高,高,高,中国四大名著之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-032,西游记,Journey to the West,吴承恩（传统署名）,Wu Cheng'en (trad.),中国,汉语,16世纪,古典,长篇小说,神魔;冒险;讽刺,Core,高,高,高,中国四大名著之一，世界性神话叙事经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-033,金瓶梅,The Plum in the Golden Vase,兰陵笑笑生,Lanling Xiaoxiao Sheng,中国,汉语,约1610,古典,长篇小说,世情;欲望;家庭,Major,高,中,中,中国世情小说与现实主义叙事的重要里程碑,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-034,牡丹亭,The Peony Pavilion,汤显祖,Tang Xianzu,中国,汉语,1598,古典,戏曲,爱情;梦;生死,Core,高,高,高,昆曲与中国戏剧史的核心经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-035,聊斋志异,Strange Tales from a Chinese Studio,蒲松龄,Pu Songling,中国,汉语,约1679—1707,古典,短篇小说集,志怪;爱情;讽刺,Core,高,高,高,中国文言短篇小说最高成就之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-036,儒林外史,The Scholars,吴敬梓,Wu Jingzi,中国,汉语,约1750,古典,长篇小说,讽刺;士人;科举,Major,高,中,高,中国古典讽刺小说代表作,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-037,红楼梦,Dream of the Red Chamber,曹雪芹,Cao Xueqin,中国,汉语,18世纪中叶,古典,长篇小说,家族;爱情;社会;女性,Core,高,高,高,中国小说史核心正典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-038,桃花扇,The Peach Blossom Fan,孔尚任,Kong Shangren,中国,汉语,1699,古典,戏曲,历史;爱情;兴亡,Major,高,中,中,清代传奇戏曲代表作,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-039,呐喊,Call to Arms,鲁迅,Lu Xun,中国,汉语,1923,现代,短篇小说集,启蒙;社会;国民性,Core,高,高,高,中国现代文学奠基性小说集,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-040,彷徨,Wandering,鲁迅,Lu Xun,中国,汉语,1926,现代,短篇小说集,知识分子;社会;困境,Extended,高,中,中,中国现代小说经典,区域/类型/时期经典地位稳定；用于扩展世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-041,家,Family,巴金,Ba Jin,中国,汉语,1933,现代,长篇小说,家族;青年;反封建,Major,高,中,高,中国现代文学与教育阅读中的长期经典,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-042,骆驼祥子,Rickshaw Boy,老舍,Lao She,中国,汉语,1937,现代,长篇小说,城市;底层;悲剧,Core,高,高,高,中国现代现实主义小说代表作,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-043,边城,Border Town,沈从文,Shen Congwen,中国,汉语,1934,现代,中篇小说,乡土;爱情;人性,Core,高,中,高,中国现代乡土文学核心经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-044,子夜,Midnight,茅盾,Mao Dun,中国,汉语,1933,现代,长篇小说,都市;资本;社会,Extended,高,中,中,中国现代社会小说代表作,区域/类型/时期经典地位稳定；用于扩展世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-045,围城,Fortress Besieged,钱钟书,Qian Zhongshu,中国,汉语,1947,现代,长篇小说,婚姻;知识分子;讽刺,Core,高,高,高,现代汉语讽刺小说经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-046,四世同堂,Four Generations Under One Roof,老舍,Lao She,中国,汉语,1944—1948,现代,长篇小说,战争;家庭;城市,Extended,高,中,高,抗战时期北京社会史诗式小说,区域/类型/时期经典地位稳定；用于扩展世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-047,茶馆,Teahouse,老舍,Lao She,中国,汉语,1957,现代,戏剧,社会;历史;市民,Core,高,中,高,中国现代话剧经典,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-048,白鹿原,White Deer Plain,陈忠实,Chen Zhongshi,中国,汉语,1993,当代,长篇小说,家族;乡土;历史,Extended,高,中,高,中国当代长篇小说的重要经典化作品,区域/类型/时期经典地位稳定；用于扩展世界文学版图，不等同于跨文化核心正典,3,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-049,活着,To Live,余华,Yu Hua,中国,汉语,1992,当代,长篇小说,苦难;家庭;生存,Major,中-高,高,高,中国当代文学中跨文化传播极广的作品,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-050,奥之细道,The Narrow Road to the Deep North,松尾芭蕉,Matsuo Basho,日本,日语,1702,古典,俳句/游记,旅行;自然;无常,Major,高,中,中,日本俳谐与旅行文学核心经典,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-051,心,Kokoro,夏目漱石,Natsume Soseki,日本,日语,1914,现代,长篇小说,孤独;现代性;伦理,Core,高,高,高,日本现代文学最稳定的核心经典之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-052,罗生门·鼻,Rashomon and Other Stories,芥川龙之介,Ryunosuke Akutagawa,日本,日语,1915—1920年代,现代,短篇小说集,人性;历史;伦理,Major,高,高,高,日本现代短篇小说代表,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-053,雪国,Snow Country,川端康成,Yasunari Kawabata,日本,日语,1935—1947,现代,长篇小说,审美;爱情;孤独,Core,高,高,高,日本现代主义与审美小说代表,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-054,细雪,The Makioka Sisters,谷崎润一郎,Junichiro Tanizaki,日本,日语,1943—1948,现代,长篇小说,家族;女性;传统与现代,Major,高,中,中,日本家族小说与现代转型经典,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-055,人间失格,No Longer Human,太宰治,Osamu Dazai,日本,日语,1948,现代,长篇小说,异化;自我;绝望,Major,高,高,高,日本战后前夜最具大众影响的现代经典之一,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
